"Image ID","Visual Predictionfilepath","BC Input (Turbo)filepath","BH Input (Viridis)filepath","IoU","F1","Accuracy","TP","TN","FP","FN","Model Name"
"qc_84_22","media/images/f7e789de5b9c78267b6b.png","media/images/9ab708a4effdbf875b50.png","media/images/0b8ebda459e297fb5ba8.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_46_130","media/images/958f6a62144ec3ff2c50.png","media/images/fdc98f1e6d5750692077.png","media/images/43cc64c2a15212262563.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_34_76","media/images/bb52824cafc209b00393.png","media/images/7a58e46e0347fd153a25.png","media/images/c6b4d1e53ea6e82ca47b.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_52_51","media/images/e573d0680e86c225b56a.png","media/images/c9586208c8a077c50f27.png","media/images/32a4a57a0ac6920143bf.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_38_62","media/images/8a5cba057afba5e62885.png","media/images/8d378cb39757dd41d843.png","media/images/7557f2f0eabd842d3a82.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_82_21","media/images/31f65dc1339ccd961af7.png","media/images/9ab708a4effdbf875b50.png","media/images/0b8ebda459e297fb5ba8.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_72_62","media/images/d11017d8bea2b9a29387.png","media/images/33dd5eee7949b5869e6d.png","media/images/d9d4a98c6b54e40d7a42.png","0.732602202306038","0.8456668915690702","0.9084777832017388","16433","43105","4833","1165","ConvNeXt Satellite"
"qc_59_75","media/images/b4b28a93238230131d6f.png","media/images/3a0dadc2bfa65c115b90.png","media/images/d94befea57cc57f9d519.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_31_95","media/images/ff7ef94de0f10c00d91d.png","media/images/fe30145b31cbd92b99d0.png","media/images/992e66738f1c78309cb0.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_98_56","media/images/3cb5b2a8e14cf93e8c7f.png","media/images/181bf78afd40a603111d.png","media/images/9352b8620cb101b44b5f.png","0.40464556334250656","0.5761532194363178","0.8717193603502323","5714","51415","7343","1064","ConvNeXt Satellite"
"qc_32_138","media/images/1c5bc7e5cc59c176ffb6.png","media/images/41a9bf2a2ce62665ad18.png","media/images/7eccdc3aadad58387774.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_101_46","media/images/b6737504e686041711e6.png","media/images/3a96171d009183004f88.png","media/images/ebaa89980187ac2a2c02.png","0","0","0.9060974121079924","0","59382","0","6154","ConvNeXt Satellite"
"qc_53_146","media/images/dc8d905ce8e8cbad3943.png","media/images/e85fcf0bdc52d89cbfe3.png","media/images/f4247066cf66dc8023e5.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_103_22","media/images/01938655735b92f92ddd.png","media/images/9ab708a4effdbf875b50.png","media/images/0b8ebda459e297fb5ba8.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_114_45","media/images/bc31a502f8096dd592a8.png","media/images/9ab708a4effdbf875b50.png","media/images/0b8ebda459e297fb5ba8.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_102_16","media/images/6a146a93d28d18fdbab0.png","media/images/9ab708a4effdbf875b50.png","media/images/0b8ebda459e297fb5ba8.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_66_46","media/images/fbc6ae4697b5c311a76f.png","media/images/8a09f33104991c128d43.png","media/images/67687a648792008d2b5f.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_36_118","media/images/9d5259d7f5632f711249.png","media/images/782184a9604334047f51.png","media/images/31bf373f46aeba6b9960.png","0","0","0.9958496093734804","0","65264","0","272","ConvNeXt Satellite"
"qc_73_75","media/images/b47a3c7bc812b4f18488.png","media/images/33c05f3c8be459049aad.png","media/images/ddfc959e487fea84f004.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_17_105","media/images/34d7653b1e2d9829aa96.png","media/images/4ad461c44b82788693b0.png","media/images/8513b1726f89677849dd.png","0.0691967279062009","0.129436837259","0.7881774902331723","1032","50622","0","13882","ConvNeXt Satellite"
"qc_92_61","media/images/4ffcd34084ee39e77348.png","media/images/29e5974a2bc0d57c14bb.png","media/images/d2891893388441bdcccc.png","0.39615096225613466","0.567490104295531","0.8894042968736429","4755","53533","4321","2927","ConvNeXt Satellite"
"qc_68_138","media/images/5e14af5eb5b32a2b6ff0.png","media/images/896f691598090ef59951.png","media/images/174c0f1e2c78bfc3b4e0.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_54_44","media/images/f95adc4da09936a065c5.png","media/images/672994c991951eb3f06e.png","media/images/927f5321f8f18d238bae.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_15_116","media/images/ef655777f43138982aed.png","media/images/24c380bae054339ed25e.png","media/images/788e7cc137e0d0e49982.png","0.018203470567910794","0.035756053295812974","0.911941528318921","107","59658","0","5771","ConvNeXt Satellite"
"qc_72_65","media/images/a1dad1a102739ccfa0dd.png","media/images/2d49ee009bc599b8d2b5.png","media/images/bdcc7e8450d2657d3f5c.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_32_90","media/images/e3caa3a3158290a6ff07.png","media/images/7bb860debdfc4ae6913e.png","media/images/f1158eb210061e285444.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_72_109","media/images/9e0a2f8b3905f22573de.png","media/images/f186fae2755026eb4d68.png","media/images/fded8a732219d6b59817.png","0.48434473853317717","0.6526040620954279","0.951248168943861","3001","59340","661","2534","ConvNeXt Satellite"
"qc_29_56","media/images/7a3d6d323e0a728efe29.png","media/images/d41ae53267752f6b810d.png","media/images/0db2c3e00e1c30ed5ad0.png","0","0","0.991836547850049","0","65001","535","0","ConvNeXt Satellite"
"qc_33_129","media/images/6c338c5bb2c2bbe4fc71.png","media/images/12bad266e988605f8c0b.png","media/images/f23565476a8117c40127.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_93_36","media/images/0fa6fcf3585950f7bad3.png","media/images/9ab708a4effdbf875b50.png","media/images/0b8ebda459e297fb5ba8.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_25_133","media/images/dac1d4036850d8d34ddb.png","media/images/40082371125b9c9373fd.png","media/images/a8a76f60b082084b1623.png","0.7276995304853735","0.8423912543287765","0.990264892576614","1705","63193","362","276","ConvNeXt Satellite"
"qc_25_117","media/images/dd1b94a0b09e85255266.png","media/images/a22d852cae9816913c8f.png","media/images/a8a889f9cb6aeea4d0c5.png","0.7445803560525059","0.8535924529286341","0.9678192138657107","6148","57279","1646","463","ConvNeXt Satellite"
"qc_84_80","media/images/18eafaceac01b591a431.png","media/images/3b3e875af28c28046787.png","media/images/d1a5194dc34121d3bbec.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_48_36","media/images/f59b5f461572b145ecb7.png","media/images/2f64756e34814fa714bd.png","media/images/db083feb96b70e80e610.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_98_65","media/images/013adc0d8e94b064d5e0.png","media/images/70c63e50cbd003af3d25.png","media/images/1228b0c9d576b3bdf608.png","0","0","0.8293151855456096","0","54350","11186","0","ConvNeXt Satellite"
"qc_91_49","media/images/e5a2137180e45b541cfc.png","media/images/9ab708a4effdbf875b50.png","media/images/0b8ebda459e297fb5ba8.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_60_87","media/images/acf917cbb494132ed5e3.png","media/images/cd87cbab296d6e39d137.png","media/images/f38f4f5739ba5b68bace.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_67_90","media/images/9743ce2dbab60a365216.png","media/images/62763a36e78eca46b9ba.png","media/images/62b19eab68f4b6eef03d.png","0","0","0.9149932861314163","0","59965","3819","1752","ConvNeXt Satellite"
"qc_87_36","media/images/5859600b766f5db8d428.png","media/images/9ab708a4effdbf875b50.png","media/images/0b8ebda459e297fb5ba8.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_42_67","media/images/69e2033fd1886a2b7d43.png","media/images/b5a7fa31181147b8cc90.png","media/images/82bd8e49506dcdffb8e4.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_58_56","media/images/efcfe752c2927bb7547d.png","media/images/76940311645e010a99a4.png","media/images/23a26246a93fe2b72d1d.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_14_99","media/images/7608df9ed1f560e30fcf.png","media/images/7932c3fd460dd483e65f.png","media/images/5813f28021a0da3dcd15.png","0.43520782395269497","0.6064735474491324","0.9541778564438566","2314","60219","2423","580","ConvNeXt Satellite"
"qc_39_131","media/images/ae4ba2efeddf6edeba68.png","media/images/8b50e93d62b4139b29d0.png","media/images/59b29b8573dcb26a7dde.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_42_54","media/images/ef49d4f4b8a1e1035c72.png","media/images/b17f68677b4213d6706c.png","media/images/501f9409cc11bcbec1e7.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_22_52","media/images/7c40d9dc899d2dca0c72.png","media/images/cd018bb3f06ac5245e10.png","media/images/35ac368bc6627bdaa8bd.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
